2021-06-22 11:19:55,850 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/', GET] with []
2021-06-22 11:19:55,854 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/webjars/**', GET] with []
2021-06-22 11:19:55,855 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/favicon.ico', GET] with []
2021-06-22 11:19:55,856 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/**/*.png', GET] with []
2021-06-22 11:19:55,857 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/**/*.css', GET] with []
2021-06-22 11:19:55,859 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/**/*.js', GET] with []
2021-06-22 11:19:55,859 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/**/*.woff2', GET] with []
2021-06-22 11:19:55,868 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/**/*.woff', GET] with []
2021-06-22 11:19:55,869 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/**/*.html', GET] with []
2021-06-22 11:19:55,871 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/*.html', GET] with []
2021-06-22 11:19:55,871 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/static/passwordReset.html', GET] with []
2021-06-22 11:19:55,872 | INFO | org.springframework.security.web.DefaultSecurityFilterChain | Will secure Ant [pattern='/auth/getUsernameByToken/**', GET] with []
